,tws,reservoir,soil_moisture,groundwater,tws_minus_reservoir_only
2022-02-01,-18.854505177107427,-16.482958169932648,-10.048629264473265,7.67708225729848,-2.3715470071747853
2022-03-01,-23.774655109096877,-17.163994453920346,-20.489313575794437,13.878652920617917,-6.610660655176525
2022-04-01,-18.953062333082958,-15.486751243787092,-17.77150293513275,14.30519184583689,-3.4663110892958606
2022-05-01,-31.012678223130365,-14.378751932956314,-17.272500564216642,0.6385742740425921,-16.633926290174053
2022-06-01,-25.492746738118658,-12.681292974259433,-30.653960081496514,17.842506317637294,-12.811453763859227
2022-07-01,-40.940016179013995,-16.49167404929499,-41.55765074692659,17.109308617207596,-24.44834212971899
2022-08-01,-17.207788899034004,-18.381408091356555,-35.9144492617866,37.088068454109155,1.17361919232255
2022-09-01,13.400633870717929,-13.024311643308659,-8.428589563086078,34.85353507711267,26.424945514026586
2022-10-01,-39.06494940091665,-14.592520870668942,-34.17254942710592,9.700120896858209,-24.47242853024772
2022-11-01,-41.84053032813011,-14.854703248328402,-22.682205937371,-4.303621142430701,-26.98582707980169
2022-12-01,-29.929300839076827,-17.000170859546746,-15.043994771837358,2.1148647923072716,-12.929129979530089
2023-01-01,-31.844776449758136,-16.21802954238683,-24.559242211933523,8.932495304562224,-15.626746907371297
2023-02-01,-17.494908533216694,-17.581369022505882,-26.621942364036236,26.708402853325424,0.08646048928918872
2023-03-01,-21.303363083378173,-19.113199441605243,-30.697442949769552,28.507279307996622,-2.190163641772932
2023-04-01,-15.484075783818692,-16.224164879939227,-14.966211722828277,15.537517449161623,0.6179973425399599
2023-05-01,-19.483227536589713,-12.555223343127256,-3.3876380110072017,-3.540366182455256,-6.928004193462457
2023-06-01,-24.14034201809435,-8.93143443938275,-14.036664412723274,-1.1722431659883321,-15.208907578711605
2023-07-01,-54.726736029261325,-12.930593334371276,-39.06047530568012,-2.735667389209932,-41.796142694890044
2023-08-01,-72.75430295280843,-15.710755442344613,-42.798426784400235,-14.24512072606358,-57.04354751046382
2023-09-01,-94.43966418755373,-18.62171304516304,-66.91197350316737,-8.905977639223332,-75.81795114239068
2023-10-01,-79.89176471325885,-20.95173259791485,-58.722379838937314,-0.21765227640668153,-58.940032115343996
2023-11-01,-65.91661787531568,-20.267478525984803,-19.981409457340128,-25.66772989199076,-45.64913934933088
2023-12-01,-59.54364206800247,-19.682898363872383,-3.560189854228896,-36.30055384990119,-39.86074370413009
2024-01-01,-45.040822483479076,-18.2500504634984,-2.354515834460797,-24.436256185519873,-26.79077201998067
2024-02-01,-39.235209410304805,-18.172052072368295,1.594380016142167,-22.657537354078677,-21.063157337936516
2024-03-01,-51.88904134367737,-17.91484683501846,-6.798456333444821,-27.175738175214093,-33.97419450865891
2024-04-01,-63.8771063364661,-16.931862899457673,-13.694649580246452,-33.25059385676197,-46.945243437008415
